haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
5000107000000,63000500000494,5000107000095,5000107000000,63,0.0,5000107000001,-1,-1,5000107000000,5000107000169,2059,199.93056,145.1928,174.62724,21399,56.10213,59.96367,52.853462,260003,6,6,5,72.48733,-41.413383,-118.7125,117.85325,226.05472,0.52624655,-1.0960972,0.99754447,12671682,5,494,0.089102656,704
5000107000001,62000500000497,5000107000095,5000107000000,62,0.019932542,5000107000002,-1,5000107000000,5000107000001,5000107000208,2103,198.63957,144.93459,172.7338,21399,56.086536,59.969856,52.874622,260003,6,6,5,71.7283,-41.827423,-116.911316,114.8342,218.20139,0.15725471,-0.9324028,0.857862,12671682,5,497,0.09418053,268
5000107000002,61000500000500,5000107000095,5000107000000,61,0.041403063,5000107000003,-1,5000107000001,5000107000002,5000107000134,2038,197.60678,143.55754,169.9797,21399,56.06954,59.9838,52.900726,260003,6,6,5,69.870384,-41.96292,-117.668755,117.13611,221.09976,0.61215377,-1.2460202,1.0998001,12852657,5,500,0.090162456,491
5000107000003,60000500000521,5000107000095,5000107000000,60,0.064493395,5000107000004,-1,5000107000002,5000107000003,5000107000135,2022,195.71333,143.21327,170.06577,21399,56.05557,59.99079,52.92881,260003,6,6,5,70.119965,-44.060772,-117.56924,116.3151,218.37352,0.43328145,-1.3934295,0.71492463,12852657,5,521,0.08865265,174
5000107000004,59000500000502,5000107000095,5000107000000,59,0.08928783,5000107000005,-1,5000107000003,5000107000004,5000107000136,1996,193.56169,139.51245,170.84036,21399,56.043304,60.00246,52.951984,260003,6,6,5,68.01164,-44.71389,-118.006294,118.47041,222.32913,0.53361636,-1.1511109,1.0091975,12852657,5,502,0.08751999,494
5000107000005,58000500000508,5000107000095,5000107000000,58,0.11588337,5000107000006,-1,5000107000004,5000107000005,5000107000137,1895,193.56169,140.88951,166.36494,21399,56.026264,60.013714,52.98529,260003,6,6,5,65.52045,-45.448082,-114.88066,119.76315,222.69731,0.45532605,-1.0648365,0.54269195,12852677,5,508,0.080955826,806
5000107000006,57000500000494,5000107000095,5000107000000,57,0.14438343,5000107000007,-1,5000107000005,5000107000006,5000107000138,1879,190.5494,138.6518,162.75018,21399,56.009937,60.028076,53.017517,260003,6,6,5,60.791473,-47.506718,-114.99234,119.36146,223.047,0.4507668,-0.9868051,0.8537323,12671682,5,494,0.08206123,305
5000107000007,56000500000484,5000107000095,5000107000000,56,0.17489761,5000107000008,-1,5000107000006,5000107000007,-1,1886,185.98792,138.99606,163.86903,21399,55.993774,60.041138,53.048332,260003,6,6,5,59.56006,-49.72198,-115.46596,116.22638,216.00133,0.42278928,-0.77419484,0.8380339,12852734,5,484,0.08491548,472
5000107000008,55000500000472,5000107000095,5000107000000,55,0.20754863,5000107000009,-1,5000107000007,5000107000008,-1,1896,184.86906,137.27475,162.66412,21399,55.97723,60.055977,53.08387,260003,6,6,5,56.439568,-50.746502,-113.53624,116.69008,217.94945,0.2793409,-0.6982603,1.1473511,12852657,5,472,0.08539767,926
5000107000009,54000500000458,5000107000095,5000107000000,54,0.24246909,5000107000010,-1,5000107000008,5000107000009,5000107000105,1930,183.23381,138.3936,160.6846,21399,55.956467,60.076057,53.113625,260003,6,6,5,57.857765,-53.40801,-113.192726,119.843056,217.99506,0.020170948,-0.56133604,1.1874914,12852657,5,458,0.08248631,821
5000107000010,53000500000459,5000107000094,5000107000000,53,0.2798018,5000107000011,5000107000095,5000107000009,5000107000010,5000107000106,1917,179.61905,138.47966,162.14772,21399,55.93736,60.09632,53.16144,260003,6,6,5,56.60937,-54.872208,-111.52766,124.29761,226.8759,-0.05586551,-0.54774314,0.9677612,12852657,5,459,0.08154986,491
