haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
2000104000000,63000200000706,2000104000134,2000104000000,63,0.0,2000104000001,-1,-1,2000104000000,2000104000135,2066,195.88547,144.07393,173.33626,10407,54.041252,35.209084,16.53426,118985,6,3,1,33.082485,198.60518,-77.440575,111.451485,199.39178,-1.1577725,-0.66427106,-0.40352884,6242287,2,706,0.10354162,674
2000104000001,62000200000682,2000104000134,2000104000000,62,0.019932542,2000104000002,-1,2000104000000,2000104000001,2000104000136,2014,196.22974,146.6559,174.62724,10407,54.03935,35.16262,16.55835,118985,6,3,1,31.045042,196.36176,-84.78489,111.43484,194.0239,-1.2083192,-0.7250445,-0.46042967,6241857,2,682,0.10498088,91
2000104000002,61000200000671,2000104000134,2000104000000,61,0.041403063,2000104000003,-1,2000104000001,2000104000002,2000104000176,1952,195.79941,151.56165,176.69283,10408,54.031284,35.12134,16.579449,118875,6,3,1,27.432556,191.4481,-89.320305,115.1304,194.20053,-1.1414268,-0.787486,-0.4051411,6241857,2,671,0.09800308,85
2000104000003,60000200000683,2000104000134,2000104000000,60,0.064493395,2000104000004,-1,2000104000002,2000104000003,2000104000138,1946,194.16415,156.29526,176.2625,10408,54.024883,35.083996,16.601776,118879,6,3,1,24.025822,189.14616,-95.73664,120.20042,202.18521,-1.0683992,-0.8174382,-0.20446774,6241857,2,683,0.08901131,490
2000104000004,59000200000709,2000104000134,2000104000000,59,0.08928783,2000104000005,-1,2000104000003,2000104000004,2000104000178,1905,191.32399,154.05756,173.76659,10408,54.013947,35.0423,16.625437,118879,6,3,1,21.47651,187.3864,-104.45409,127.3005,212.6448,-1.1022578,-0.7164114,-0.16437288,6241857,2,709,0.080227934,54
2000104000005,58000200000722,2000104000134,2000104000000,58,0.11588337,2000104000006,-1,2000104000004,2000104000005,2000104000140,1843,190.2912,151.81984,172.38954,10408,54.00711,34.9901,16.64554,118879,6,3,1,18.975994,179.89658,-110.12155,139.00555,223.95055,-1.2251983,-0.6571755,-0.13118483,6242346,2,722,0.068373054,856
2000104000006,57000200000731,2000104000134,2000104000000,57,0.14438343,2000104000007,-1,2000104000005,2000104000006,2000104000141,1861,186.41824,149.32394,167.39774,10408,54.008442,34.93993,16.646727,118879,6,3,1,19.58403,175.22133,-117.6288,131.05836,218.09444,-1.0982893,-0.7924379,-0.121790074,6242334,2,731,0.073696464,536
2000104000007,56000200000745,2000104000134,2000104000000,56,0.17489761,2000104000008,-1,2000104000006,2000104000007,2000104000181,1741,181.34036,141.92229,164.04117,10408,53.993534,34.893417,16.67592,118879,6,3,1,22.737526,170.12437,-124.093475,118.820915,205.40038,-0.9746354,-0.6290797,-0.51539356,6241857,2,745,0.08365261,654
2000104000008,55000200000722,2000104000134,2000104000000,55,0.20754863,2000104000009,-1,2000104000007,2000104000008,2000104000182,1730,179.44693,122.21326,157.75838,10408,53.979103,34.845352,16.710522,118879,6,3,1,22.000597,165.30179,-134.50693,111.68286,201.8772,-0.9767687,-0.18927988,-0.41676676,6241857,2,722,0.08634484,30
2000104000009,54000200000720,2000104000134,2000104000000,54,0.24246909,2000104000010,-1,2000104000008,2000104000009,2000104000183,1665,172.64774,113.34849,138.30754,10408,53.967976,34.785152,16.75128,118879,6,3,1,19.989466,166.27731,-141.71216,110.27694,200.55632,-1.0334927,-0.24093445,-0.6449412,6241857,2,720,0.083105296,789
2000104000010,53000200000710,2000104000134,2000104000000,53,0.2798018,2000104000011,-1,2000104000009,2000104000010,2000104000184,1653,150.95918,110.16406,132.369,10408,53.959682,34.731247,16.792461,118879,6,3,1,17.048136,160.31134,-150.46852,110.69877,202.77905,-1.0179814,0.21855618,-0.8276142,6241857,2,710,0.0829772,663
2000104000011,52000200000692,2000104000134,2000104000000,52,0.31970343,2000104000012,-1,2000104000010,2000104000011,2000104000185,1631,147.77477,111.02472,133.65999,10408,53.945885,34.675686,16.850183,118879,6,3,1,16.555601,158.06929,-158.49373,110.24554,203.89235,-1.0008159,0.05737906,-1.0070282,6241875,2,692,0.081129625,875
2000104000012,51000200000682,2000104000134,2000104000000,51,0.36234027,2000104000013,-1,2000104000011,2000104000012,2000104000147,1598,146.05345,115.41406,134.77884,10408,53.939564,34.617664,16.914099,118879,6,3,1,14.403267,154.60869,-167.80705,112.8477,200.23445,-0.88440746,0.18285786,-1.1435487,6241875,2,682,0.077128686,627
2000104000013,50000200000692,2000104000134,2000104000000,50,0.40789944,2000104000014,-1,2000104000012,2000104000013,2000104000148,1604,145.70918,116.10259,136.50015,10408,53.939907,34.563873,16.975897,118879,6,3,1,10.07651,151.35027,-177.40253,114.169014,201.70752,-1.0537399,0.025925491,-1.1487796,6241857,2,692,0.07649604,892
2000104000014,49000200000666,2000104000134,2000104000000,49,0.45657724,2000104000015,-1,2000104000013,2000104000014,-1,1593,145.79524,121.43866,138.6518,10408,53.93093,34.50938,17.056631,118879,6,3,1,8.506231,148.81676,-185.94502,121.34481,210.47818,-0.9415551,-0.03550331,-1.0972548,6241857,2,666,0.07273159,469
2000104000015,48000200000693,2000104000101,2000104000000,48,0.5085914,2000104000016,2000104000102,2000104000014,2000104000015,2000104000102,1556,145.96738,122.643585,138.82393,10408,53.930904,34.453278,17.149706,118879,6,3,1,2.4426763,144.79945,-200.40854,120.57334,203.7968,-0.82371765,-0.27730456,-1.1264267,6241909,2,693,0.075026534,694
2000104000016,47000200000673,2000104000101,2000104000000,47,0.5641766,2000104000017,-1,2000104000015,2000104000016,2000104000103,1532,146.05345,124.70916,141.49196,10408,53.93495,34.38833,17.23666,118879,6,3,1,0.19970085,143.23276,-204.18452,120.705086,200.06348,-0.90432125,-0.5506075,-0.93918115,6241909,2,673,0.07125683,213
2000104000017,46000200000632,2000104000101,2000104000000,46,0.6235901,2000104000018,-1,2000104000016,2000104000017,2000104000104,1435,141.75017,127.46326,137.53294,10408,53.93394,34.326866,17.324167,118879,6,3,1,-0.58385724,133.76508,-205.70453,127.75546,205.21149,-0.8230252,-0.54144406,-0.94093835,6242389,2,632,0.06354021,31
2000104000018,45000200000629,2000104000101,2000104000000,45,0.6871088,2000104000019,-1,2000104000017,2000104000018,2000104000105,1279,131.50835,119.28702,128.84032,10408,53.917088,34.255543,17.410322,118879,6,3,1,4.160274,131.59209,-196.81923,139.04422,218.12405,-0.6230391,-0.5723346,-0.71529275,6242027,2,629,0.05042227,569
2000104000019,44000200000578,2000104000101,2000104000000,44,0.75503564,2000104000020,-1,2000104000018,2000104000019,2000104000106,1212,119.80341,108.01242,116.44685,10408,53.90032,34.201576,17.47631,118879,6,3,1,7.944337,125.1915,-195.71367,126.57234,207.02942,-0.5888194,-0.6605134,-0.790581,6241909,2,578,0.05391554,889
2000104000020,43000200000576,2000104000101,2000104000000,43,0.8276991,2000104000021,-1,2000104000019,2000104000020,2000104000107,1033,106.463234,85.89354,102.332085,10408,53.873203,34.143665,17.565266,118877,6,3,1,17.1078,123.95001,-188.13235,116.17096,195.57645,-0.7785485,-0.33931857,-0.54907733,6241909,2,576,0.05139402,460
2000104000021,42000200000573,2000104000080,2000104000000,42,0.9054624,2000104000022,2000104000081,2000104000020,2000104000021,2000104000108,898,84.08616,75.82385,83.139435,10411,53.86764,34.071266,17.662426,118905,6,3,1,20.096718,124.39097,-187.88205,108.44196,189.869,-0.50367117,-0.31226894,-0.37309813,6242392,2,573,0.04672559,726
2000104000022,41000200000531,2000104000080,2000104000000,41,0.98870814,2000104000023,-1,2000104000021,2000104000022,2000104000109,836,75.651726,67.131226,74.01648,10411,53.855724,34.006428,17.774057,118905,6,3,1,15.090799,123.6112,-189.867,113.685425,196.40349,-0.6039259,-0.34968376,-0.3452854,6242392,2,531,0.040743195,475
2000104000023,40000200000574,2000104000080,2000104000000,40,1.0778745,2000104000024,-1,2000104000022,2000104000023,-1,872,70.83205,65.75417,70.22959,10411,53.85194,33.952957,17.889269,118905,6,3,2,12.139664,102.7904,-185.79375,112.075584,193.48732,-1.8282658,-0.607253,-1.0716181,6242392,2,574,0.044621654,965
2000104000024,39000200000645,2000104000080,2000104000000,39,1.173417,2000104000025,-1,2000104000023,2000104000024,-1,731,68.07795,63.172203,67.905815,10411,53.854984,33.886597,17.989782,118905,6,3,2,6.1889496,120.65742,-188.12305,111.354095,186.59702,-0.22214568,-0.11259924,0.42388797,6241844,2,645,0.039973952,144
2000104000025,38000200000638,2000104000080,2000104000000,38,1.2758462,2000104000026,-1,2000104000024,2000104000025,-1,698,61.881218,57.922195,61.881218,10411,53.84717,33.815067,18.082466,118905,6,3,2,1.6783522,112.52649,-179.16512,109.4468,187.0387,-0.42640615,-0.17757648,0.5362136,6370393,2,638,0.037698776,521
2000104000026,37000200000562,2000104000080,2000104000000,37,1.3857181,2000104000027,-1,2000104000025,2000104000026,-1,743,60.24597,56.717278,60.590233,10411,53.829334,33.73171,18.185705,118905,6,3,2,-0.3937147,105.33564,-171.03955,109.2815,184.35559,-0.18740737,-0.0024281873,0.39834088,6242396,2,562,0.04254038,4
2000104000027,36000200000546,2000104000080,2000104000000,36,1.5036365,2000104000028,-1,2000104000026,2000104000027,-1,722,58.86892,55.68449,59.299248,10411,53.85925,33.71557,18.269533,118905,6,3,2,-2.1774442,100.04715,-167.44763,107.70245,179.98938,-0.116348386,-0.08371042,0.48626122,6241858,2,546,0.042301368,963
2000104000028,35000200000487,2000104000080,2000104000000,35,1.6302707,2000104000029,-1,2000104000027,2000104000028,-1,743,64.63532,60.332035,65.06565,10411,53.84692,33.638977,18.365084,118905,6,3,2,-6.27848,93.8595,-162.6133,110.29305,182.31877,0.020394407,-0.08752271,0.49164402,6370445,2,487,0.042501617,455
2000104000029,34000200000431,2000104000078,2000104000000,34,1.766336,2000104000030,2000104000079,2000104000028,2000104000029,2000104000079,684,63.688595,60.504166,64.29105,10411,53.876125,33.61957,18.466236,118905,6,3,2,-9.795046,94.01175,-163.33812,118.01306,179.9511,0.12142499,-0.2026228,0.26951298,6241844,2,431,0.041718535,699
