galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
4000021000000,4000021000621,-1,4000021000000,63000400000155,63000400000155,4000021000000,4000021000001,-1,0,63,0.0,960.1486,17075,58.704704,2.2721455,44.819973,170836,6,0,5,148.44073,-69.5718,-280.00372,14532,960.1486,0.34564155,345.64178,361.05942,0.07427636,9.015696,9.015696,137.67444,2.775399E-4,0.030883467,0.0020527986,0.09603866,0.09603866,0.88175935,1.157599E-6,0.0,0.0,0.0,0.05177421,0.05457921,-21.005192,-21.799215,-22.482752,-23.076721,-24.585222,-21.005192,-21.799215,-22.482752,-23.076721,-24.585222,-21.005192,-21.799215,-22.482752,-23.076721,-24.585222,10.179746,475
4000021000001,4000021000621,4000021000000,4000021000001,62000400000155,62000400000155,4000021000000,4000021000002,-1,0,62,0.019932542,982.87,17075,58.700306,2.2817228,44.86674,170836,6,0,5,150.2966,-65.72071,-280.03964,15023,982.87,0.3465939,349.2268,353.51074,0.07427636,9.015696,9.015696,141.56363,3.062862E-4,0.03085451,0.0020527986,0.09603866,0.09603866,0.88128644,1.2774975E-6,8.577814,8.577814,0.0,0.05259521,0.053919453,-21.243097,-21.925522,-22.567663,-23.141985,-24.628893,-21.243097,-21.925522,-22.567663,-23.141985,-24.628893,-21.243097,-21.925522,-22.567663,-23.141985,-24.628893,9.916314,407
4000021000002,4000021000490,4000021000001,4000021000002,61000400000153,61000400000153,4000021000000,4000021000003,4000021000491,0,61,0.041403063,1006.7962,17072,58.6891,2.2805066,44.922386,170864,6,0,5,153.38568,-65.54748,-278.32233,15183,1006.7962,0.34744322,353.0196,350.58832,0.011420442,5.202341,5.202341,144.82022,3.3985582E-4,0.013817469,3.1810434E-4,0.050042674,0.050042674,0.8585575,1.4175138E-6,0.0,0.0,0.0,0.052649092,0.052948147,-20.254854,-21.109076,-21.81986,-22.423006,-23.920359,-20.254854,-21.109076,-21.81986,-22.423006,-23.920359,-20.254854,-21.109076,-21.81986,-22.423006,-23.920359,10.431773,243
4000021000003,4000021000490,4000021000002,4000021000003,60000400000149,60000400000149,4000021000000,4000021000004,-1,0,60,0.064493395,1042.6855,17072,58.6751,2.2734976,44.987083,170864,6,0,5,158.36786,-70.61617,-275.732,15207,1042.6855,0.34937087,358.2641,350.51318,0.011420442,5.202341,5.202341,150.85004,3.791649E-4,0.013783094,3.1810434E-4,0.050042674,0.050042674,0.8574759,1.5814691E-6,0.0,0.0,0.0,0.051876787,0.05214299,-20.315393,-21.150703,-21.852995,-22.45103,-23.941525,-20.315393,-21.150703,-21.852995,-22.45103,-23.941525,-20.315393,-21.150703,-21.852995,-22.45103,-23.941525,10.143919,279
4000021000004,4000021000490,4000021000003,4000021000004,59000400000158,59000400000158,4000021000000,4000021000005,-1,0,59,0.08928783,1078.7471,17072,58.64763,2.2750316,45.05665,170864,6,0,5,159.52235,-76.029205,-273.24847,14982,1078.7471,0.35096985,363.5757,355.80414,0.011420442,5.202341,5.202341,157.1071,4.2532283E-4,0.013745183,3.1810434E-4,0.050042674,0.050042674,0.8556714,1.7739904E-6,1.1726662,1.1726662,0.0,0.050097786,0.051358446,-20.459173,-21.230919,-21.911871,-22.49972,-23.977354,-20.459173,-21.230919,-21.911871,-22.49972,-23.977354,-20.459173,-21.230919,-21.911871,-22.49972,-23.977354,9.844606,942
4000021000005,4000021000385,4000021000004,4000021000005,58000400000150,58000400000150,4000021000000,4000021000006,4000021000386,0,58,0.11588337,1124.1038,17072,58.609573,2.2877002,45.130733,170864,6,0,5,162.40544,-78.573814,-270.45663,14676,1124.1038,0.35318083,369.9769,364.19446,0.08512134,3.4450078,1.7669026,164.59929,4.7969722E-4,0.010929463,0.0020146843,0.031205755,0.0144871585,0.8511825,2.000782E-6,0.45942336,3.5944694E-7,0.0,0.048455916,0.050435495,-19.913948,-20.739025,-21.436918,-22.028502,-23.50183,-19.133507,-19.97617,-20.679834,-21.268095,-22.717014,-19.91302,-20.73827,-21.436312,-22.028059,-23.501698,9.952333,253
4000021000006,4000021000343,4000021000005,4000021000006,57000400000158,57000400000158,4000021000000,4000021000007,4000021000344,0,57,0.14438343,1208.7063,17071,58.55168,2.2944098,45.204926,170809,6,0,5,168.2339,-81.09867,-272.98145,14256,1208.7063,0.35887596,380.5907,378.35052,0.10370473,3.243707,1.5717303,179.32971,5.4396375E-4,0.010582239,0.0020571225,0.029271243,0.012681596,0.84689665,2.268833E-6,0.0,0.0,0.0,0.04597473,0.04914303,-19.839056,-20.67816,-21.380556,-21.973492,-23.446999,-19.032969,-19.871956,-20.573362,-21.158749,-22.6011,-19.8381,-20.677372,-21.37992,-21.973026,-23.44686,9.693437,20
4000021000007,4000021000343,4000021000006,4000021000007,56000400000159,56000400000159,4000021000000,4000021000008,-1,0,56,0.17489761,1283.7555,17071,58.46523,2.322986,45.289177,170809,6,0,5,170.04837,-82.00125,-272.16223,13839,1283.7555,0.36287457,390.0613,393.78403,0.10370473,3.243707,1.5717303,192.89574,6.201801E-4,0.010527287,0.0020571225,0.029271243,0.012681596,0.8149876,2.5867264E-6,0.29240212,1.4710173E-6,0.0,0.042706724,0.04769583,-19.927423,-20.735474,-21.425701,-22.012089,-23.478996,-19.066908,-19.902914,-20.602165,-21.185446,-22.625149,-19.926268,-20.73454,-21.424953,-22.011543,-23.478832,9.363207,167
4000021000008,4000021000314,4000021000007,4000021000008,55000400000160,55000400000160,4000021000000,4000021000009,4000021000315,0,55,0.20754863,1252.4276,17071,58.369293,2.3862855,45.37218,170809,6,0,5,183.9595,-100.77271,-267.38687,12724,1252.4276,0.35636103,388.77756,391.20688,0.0481276,3.208367,1.5405169,188.26207,7.108987E-4,0.010375181,0.0016146733,0.029079843,0.012565105,0.8034454,2.965108E-6,0.47314343,1.644042E-6,0.0,0.041281603,0.047470678,-19.961432,-20.756891,-21.443554,-22.028624,-23.495167,-19.072718,-19.90752,-20.605648,-21.18821,-22.62882,-19.96,-20.755745,-21.442636,-22.027954,-23.494967,9.042319,75
4000021000009,4000021000277,4000021000008,4000021000009,54000400000162,54000400000162,4000021000000,4000021000010,4000021000278,0,54,0.24246909,1196.571,17071,58.287045,2.4387798,45.461006,170809,6,0,5,178.5366,-91.63116,-267.39896,13081,1196.571,0.34720185,384.9889,390.97617,0.061908815,2.8947625,1.2337496,181.13414,8.192849E-4,0.01009493,0.001844246,0.025728583,0.009415932,0.7981702,3.4171792E-6,0.0,0.0,0.0,0.04172227,0.04762859,-19.79403,-20.634216,-21.334612,-21.923065,-23.38858,-18.885485,-19.709572,-20.401276,-20.975662,-22.396112,-19.792454,-20.632902,-21.333542,-21.92228,-23.388344,8.735319,45
4000021000010,4000021000277,4000021000009,4000021000010,53000400000165,53000400000165,4000021000000,4000021000011,-1,0,53,0.2798018,1112.8291,17071,58.252674,2.4244041,45.559776,170809,6,0,5,165.7186,-79.27431,-265.05774,12032,1112.8291,0.3349097,378.02484,377.75632,0.061908815,2.8947625,1.2337496,164.4573,9.492748E-4,0.010038485,0.001844246,0.025728583,0.009415932,0.7951348,3.9593574E-6,0.0,0.0,0.0,0.041112743,0.047601912,-19.844955,-20.676249,-21.371655,-21.956549,-23.41873,-18.924967,-19.745348,-20.434406,-21.006483,-22.424498,-19.84332,-20.67489,-21.37055,-21.95574,-23.418488,8.380752,365
4000021000011,4000021000277,4000021000010,4000021000011,52000400000151,52000400000151,4000021000000,4000021000012,-1,0,52,0.31970343,884.8412,17071,58.26557,2.3816025,45.641403,170809,6,0,5,167.98564,-89.42443,-260.0847,11287,884.8412,0.3062712,352.49225,352.4662,0.061908815,2.8947625,1.2337496,125.62353,0.0011057925,0.009990741,0.001844246,0.025728583,0.009415932,0.7914876,4.612181E-6,0.2961914,1.9276978E-7,0.0,0.039822243,0.049784962,-19.93973,-20.739864,-21.423702,-22.002499,-23.458124,-18.967,-19.783493,-20.469803,-21.039463,-22.454912,-19.937925,-20.738392,-21.422512,-22.001629,-23.457865,8.019824,102
4000021000012,4000021000213,4000021000011,4000021000012,51000400000138,51000400000138,4000021000000,4000021000013,4000021000214,0,51,0.36234027,611.4105,17071,58.24162,2.3341646,45.729565,170809,6,0,5,164.94067,-100.26374,-257.92145,10161,611.4105,0.2669578,313.84494,295.50778,0.051071707,2.7201154,1.0636168,79.64569,0.0012949947,0.009825555,0.001721902,0.024134545,0.00796118,0.77894497,5.4013294E-6,0.0,0.0,0.0,0.04119702,0.056545787,-19.85473,-20.682838,-21.374567,-21.955235,-23.412106,-18.856327,-19.666975,-20.349417,-20.914785,-22.322367,-19.853088,-20.68147,-21.373455,-21.954418,-23.411861,7.6498756,305
