haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
64000000,63000000000462,64000195,64000000,63,0.0,64000001,-1,-1,64000000,64000235,1999,199.3281,128.32391,173.93872,2328,22.676672,23.826263,10.319259,15465,2,2,1,205.76678,23.291565,134.14273,106.83374,191.79375,0.2872064,0.00711753,-2.5380824,1329072,0,462,0.10674492,993
65000000,63000000000465,65000156,65000000,63,0.0,65000001,-1,-1,65000000,65000157,1981,195.02481,158.4469,184.09447,1611,28.764416,0.7931759,3.2024958,4709,3,0,0,147.03365,24.081434,78.38969,118.26408,186.00366,-0.41527885,3.1467967,1.109739,991635,0,465,0.10637943,382
68000000,63000000000471,68000190,68000000,63,0.0,68000001,-1,-1,68000000,68000191,2022,195.62727,153.71329,175.2297,2854,16.504642,23.171303,22.15913,29106,1,2,2,157.9912,39.359627,33.777393,121.377266,218.03229,-0.44983968,0.31968045,-0.5540607,1976356,0,471,0.08457534,622
3000153000259,63000300001063,3000153000445,3000153000000,63,0.0,3000153000260,-1,-1,3000153000259,3000153000446,2018,195.79941,139.25426,172.30347,13908,33.98128,28.096872,6.1325045,42408,3,3,0,-140.32039,-153.5652,339.99472,108.000984,196.07822,1.8022376,-0.98426807,1.5079755,14724842,3,1063,0.10088399,68
3000160000000,63000300001051,3000160000196,3000160000000,63,0.0,3000160000001,-1,-1,3000160000000,3000160000197,2131,197.60678,149.9264,176.17642,14380,36.570374,20.689518,21.370735,57799,4,2,2,124.540306,-258.20108,-98.42241,115.78385,223.35062,0.55028534,-0.29442406,-0.55936754,8861901,3,1051,0.08806824,771
3000164000000,63000300001057,3000164000117,3000164000000,63,0.0,3000164000001,-1,-1,3000164000000,-1,2152,197.26251,149.06575,176.60675,13980,41.956745,27.1536,5.707094,42782,4,3,0,-16.366041,-173.19644,407.79474,121.1126,231.82039,-1.1407751,1.033965,-0.42992,11295913,3,1057,0.08925957,825
3000169000000,63000300001067,3000169000085,3000169000000,63,0.0,3000169000001,-1,-1,3000169000000,3000169000086,1550,196.22974,121.26653,164.04117,14531,44.566692,22.966537,16.433794,58067,4,2,1,254.76466,16.79897,-469.12228,110.89694,204.55148,-1.3025749,-2.7878356,2.3283467,8705072,3,1067,0.07535434,894
5000107000000,63000500000494,5000107000095,5000107000000,63,0.0,5000107000001,-1,-1,5000107000000,5000107000169,2059,199.93056,145.1928,174.62724,21399,56.10213,59.96367,52.853462,260003,6,6,5,72.48733,-41.413383,-118.7125,117.85325,226.05472,0.52624655,-1.0960972,0.99754447,12671682,5,494,0.089102656,704
2000104000000,63000200000706,2000104000134,2000104000000,63,0.0,2000104000001,-1,-1,2000104000000,2000104000135,2066,195.88547,144.07393,173.33626,10407,54.041252,35.209084,16.53426,118985,6,3,1,33.082485,198.60518,-77.440575,111.451485,199.39178,-1.1577725,-0.66427106,-0.40352884,6242287,2,706,0.10354162,674
2000106000000,63000200000710,2000106000105,2000106000000,63,0.0,2000106000001,-1,-1,2000106000000,2000106000106,2052,198.98383,154.05756,179.44693,9670,32.090263,51.810417,28.36001,125318,3,5,3,36.543736,486.80978,395.24814,121.595055,229.31055,-1.1040262,0.37788472,-1.3556398,4300817,2,710,0.082062125,220
2000111000000,63000200000722,2000111000180,2000111000000,63,0.0,2000111000001,-1,-1,2000111000000,2000111000181,2024,195.19695,143.3854,171.09856,10042,44.038433,41.334763,19.15887,116341,4,4,2,69.46574,-114.99194,145.40697,118.96771,217.3122,-1.0256755,2.2472546,0.24786296,5115967,2,722,0.08605886,661
7000066000637,63000700000290,7000066000852,7000066000000,63,0.0,7000066000638,-1,-1,7000066000637,-1,2006,199.3281,137.96327,170.66823,31206,23.690235,1.2144226,47.464672,152066,2,0,5,-51.51764,81.255165,-64.36497,115.73903,214.34009,-0.2586609,-1.3835814,0.40734756,15305941,7,290,0.0924435,932
